loss,epoch
0.2598,0.37
0.2521,0.74
0.2108,1.11
0.1702,1.48
0.2073,1.85
0.1536,2.22
0.1814,2.59
0.1795,2.96
0.1344,3.33
0.1332,3.7
0.1338,4.07
0.1056,4.44
0.1128,4.81
0.0957,5.18
0.1062,5.55
0.1084,5.92
0.0963,6.29
0.1077,6.66
0.102,7.03
0.0912,7.4
0.0996,7.77
0.1094,8.14
0.0861,8.51
0.098,8.88
0.0877,9.25
0.0796,9.62
0.0738,9.99
0.0815,10.36
0.0808,10.73
0.0738,11.1
0.0669,11.47
0.084,11.84
0.0799,12.21
0.064,12.58
0.0765,12.95
0.0583,13.32
0.0704,13.69
0.0769,14.06
0.0573,14.43
0.0658,14.8
0.0531,15.17
0.0537,15.54
0.0533,15.91
0.0492,16.28
0.049,16.65
0.0488,17.02
0.0412,17.39
0.0447,17.76
0.0409,18.13
0.0392,18.5
0.0448,18.87
0.0413,19.25
0.0402,19.62
0.0394,19.99
0.0341,20.36
0.0384,20.73
0.037,21.1
0.0304,21.47
0.0317,21.84
0.0359,22.21
0.0319,22.58
0.028,22.95
0.0267,23.32
0.0257,23.69
0.0261,24.06
0.0244,24.43
0.0253,24.8
