text,label
betewe buka twitter cuman ngetweet liat home berita corona panik kepikiran ndamau buka2 home yg aware aja i ll stay at home nda rumah kalo nda penting2 banget,no
mas piyuuu mugo2 corona tuh mulut tersumpal ma corona,no
e100ss gini buka informasi sejelas nya identitas daerah penderita terjangkit infokan masyarakat mengisolasi nya kontak langsung penderita positif corona ditutup tutupi,yes
neng solo wes ono terduga corona cobo neng ati mu neng conora,no
midiahn nii akun gak takut takut nya isu corona wkwkwkw,no
hey corona prrgi sna,no
gara corona masuk ketempat aja mesti scan jidat gw kek jajanan indomaret,no
jokowi menteri2 nya silakan tes corona,yes
pencegahan corona other moms minum multivitamin my mom minum rebusan sambiloto,yes
mamaciaaa mnrut gue jngan dkt2 corona cb dkt yg y puspa jaya damri als dkt tran jakarta aj,no
komachiyama tiati corona,no
kemenkesri mohon yg transparan mudah spt utk data corona,yes
iya gua tau corona ga parno gitu kont l prosedur iya tp gk lebay bikin risih,no
gilang mahesa bogor blum,no
imajinarii iyaaa kehitung angett minum obat obat nya bikin teler tp gabisa bobo dibawelin sedih emang amiinn makasih ya d amit amit kena corona,no
momen dipakai pencitraan semoga masif nya penyebaran corona bikin kapok,no
rlt mikirin kata2 ortu ku yg meninggal mekkah aja karna emang bentar berangkat umroh sengaja ga makan obat yg dikasih pencegahan virus corona sumpah gatau bereaksi kayak,no
corona udh dmn tp kl emg udh nya meninggal ya mo begimana lg,no
jateng jatim jakarta siaga corona info disebar jabar silent yak ga kabar2 nya pisan,yes
prediksi pola amp sejarah perjalanan orang indo singapura yg kena corona clear malaysia undertesting indonesia angka 130 terinfeksi rendah probabilitas dll dst back of the hand calculation time will tell,no
sebener nya bikin sedih dr corona virus penyebaran nya sih kesadaran orang nya aja masi egois aja pemerintah bikin kebijakan kalo warga nya ga jaga sih tindakan preventif guys,no
malem minggu main mall minggu pagi positif covid 19 senin isolasi selasa mati untung gw rebahan dirumah aje,no
prabndriapsari corona penulara nya cepat,yes
gilang mahesa odikcontinental elisa jkt jabarprovgoid humasjabar efek ga dipublish bisa2 masyarakat ga waspada ga jaga perilaku yg kelompok spreader menyebarluaskan mana2 minimal klo udh tau wilayah nya masuk zona covid 19 ga sembarangan batuk bersin,no
corona parah congorna sianjing goblok,no
semangat orang pasien yg positif corona org yg sehat terkait yg berjuang melawan corona perlahan tp corona menyebar luas bertambah lupa berdoa cuci tangan pk masker,no
wow akhirny sy dieditin pake masker thx spilldalattetuk menghindari virus corona onlen,no
dhonipusing rumah sakit daftar peserta simulasi covid 19,yes
buatsiapa17 khrsmallm ga corona gak,no
jimanah dikriminalisasi aja nih virus corona masak jenderal berani2 nya tuh virus terpapar faham radikar fpi kah cek fakta tito karnavian istri positif virus corona,yes
edc yukk sempetin habis sholat baca doa semoga corona corona end before ramadhan,no
skrinews dr pingkan pijoh mphm dk satgas covid 19 skrining antisipasi virus corona ke penumpang km sinabung,yes
tangkal corona prancis tutup toko restoran bar,yes
tangkal corona hashim pemerintah cepat,yes
memes do covid 19 semana 1 vs semana 2,no
anak keluarga nya belajar rumah jalan2 mengunjungi kumpulan orang ketempat saudara mall dll seandainya jalan2 10 terlular covid 19 yg ku njungi 14 15 tanda2,no
kelapam1 dpn gdg merdeka malem penuh kegembiraan malem minggu semoga covid 19 melunturkan kegembiraan waspada,no
savsap tetep aja citayem anti corona haha,no
nge broadcast info ttg corona please please pastikan sumber nya kredibel nambahi ke chaosan sebarin info2 hoax smartphone for smart people,yes
